entity_type	words	definition
Organisation	Facebook	"Facebook ialah sebuah tapak web rangkaian sosial yang dikendali dan dimiliki secara persendirian oleh Facebook, Inc. (kini Meta Platforms). Sejak 2006, sesiapa yang berumur 13 tahun ke atas dan memiliki alamat e-mel yang sah boleh menjadi pengguna Facebook. Facebook lebih menyasarkan golongan belia berbanding dewasa. Pengguna boleh menambah rakan serangkai dan saling menghantar pesanan, serta mengemaskini profil peribadi mereka sebagai makluman kepada rakan-rakan. Selain itu, pengguna juga boleh menyertai rangkaian yang dianjurkan oleh tempat kerja, sekolah, atau kolej. Nama Facebook berasal daripada timangan yang digunakan untuk buku-buku yang diserahkan oleh pihak pentadbiran universiti kepada para penuntut pada permulaan tahun akademik di Amerika Syarikat dengan tujuan membantu penuntut saling mengenali (bahasa Inggeris: face bookcode: en is deprecated , \"buku muka\")."
Location	Kuala	Dalam bidang geografi, kuala ialah pertemuan dua atau lebih badan air. Berbeza sekali dengan legeh, kuala biasanya memaksudkan titik bersambungnya anak sungai dengan sebatang sungai yang lebih besar, iaitu aliran umum, yang mana sungai besar itu jugalah sungai yang tertinggi tertibnya di lembangan saliran.
People	Anwar Ibrahim	Anwar bin Ibrahim (Jawi: ‏انوار بن ابراهيم‎code: ms is deprecated ‎; lahir 10 Ogos 1947) ialah Perdana Menteri Malaysia yang ke-10 dan Menteri Kewangan Malaysia sejak 2022. Beliau sebelum ini merupakan ahli politik Malaysia yang telah menjadi ketua pembangkang ke-12 dan ke-16 dari 2008 hingga 2015 dan sekali lagi dari 2020 hingga 2022, pengerusi Pakatan Harapan (PH) sejak 2020 dan presiden Parti Keadilan Rakyat (PKR) sejak 2018. Beliau telah bertugas sebagai ahli parlimen Port Dickson dari Oktober 2018 sehingga November 2022 dan Permatang Pauh dari Mac 1982 sehingga April 1999 dan sekali lagi dari Ogos 2008 hingga Mac 2015. Beliau juga pernah menjadi timbalan perdana menteri Malaysia dan memegang beberapa jawatan kabinet dalam pentadbiran Barisan Nasional (BN) di bawah perdana menteri terdahulu, Mahathir bin Mohamad dari tahun 1982 sehingga tahun 1998.
Location	Moga	"Moga ialah sebuah bandar perbandaran (\"kerajaan tempatan\") dalam daerah Moga di negeri Punjab, India."
Location	Kuala Lumpur	Kuala Lumpur  (Tulisan Jawi: كوالا لومڤور; singkatan: KL) (Sebutan Tempatan: kolumpo) atau nama penuhnya Wilayah Persekutuan Kuala Lumpur, ialah ibu negara dan bandaraya terbesar di Malaysia. Kuala Lumpur meliputi tanah seluas 244 km2 (94 bt2), diduduki 2.16 juta orang mengikut banci tahun 2022. lebih kurang 50% adalah Bumiputera, 45% adalah Cina dan 5% adalah India. Kuala Lumpur tergolong dalam sebuah kawasan metropolitan besar yang turut meliputi sebahagian besar negeri Selangor, iaitu Lembah Klang, sebuah kelompokan bandar yang diduduki 8.9 juta orang, dan juga kawasan metropolitan yang paling pesat membangun di Asia Tenggara dari segi bilangan penduduk dan ekonomi.
Location	Malaysia	Malaysia (Jawi: ‏مليسيا‎code: ms is deprecated ‎) ialah sebuah negara raja berperlembagaan persekutuan di Asia Tenggara yang terdiri daripada 11 buah negeri Melayu, dua negeri Borneo dan tiga wilayah persekutuan yang berkeluasan 330,803 kilometer persegi (127,720 bt2). Malaysia terbahagi kepada dua kawasan yang mengapit Laut China Selatan, iaitu Semenanjung Malaysia dan Malaysia Borneo. Malaysia berkongsi sempadan darat dengan Thailand, Indonesia, dan Brunei dan juga sempadan laut dengan Singapura dan Filipina. Di Malaysia terletaknya Tanjung Piai, titik paling selatan di seluruh tanah besar Eurasia.
