words,definition,pos_tag,freq_of_use,kata_dasar,kata_terbitan,num_variations
lumpur,[lum.pur]  Definisi :tanah berair yg lembut selut ~ katam lumpur yg terdapat di pantai beroleh ~ di tempat yg kering prb beroleh kesusahan dgn tidak disangka-sangka takut akan ~ lari ke duri prb mengelakkan kesusahan yg kecil dapat kesusahan yg besar berlumpur 1. mempunyai lumpur penuh dgn lumpur: di tebing yg ~ ini tumbuh hutan bakau 2. berlumur lumpur kena lumpur: kasutnya ~ melumpuri menyebabkan berlumpur pd: kanak-kanak itu bermain sambil ~ dinding rumah itu perlumpuran tempat yg penuh dgn lumpur.Kamus Dewan Edisi Keempat[lum.pur]  Definisi :tanah lembut dan berair selut. berlumpur penuh dgn lumpur berlumur dgn lumpur: Kasutnya ~ kerana ia berjalan di tempat yg becak.Kamus Pelajar Edisi Kedua,kata nama,High,lumpur,-,0
menteri,[menteri]  Definisi :1. ahli politik drpd parti pemerintah yg mengetuai sesuatu jabatan kerajaan ahli kabinet M~ Besar ketua kerajaan bagi sesebuah negeri yg beraja di Malaysia Ketua M~ ketua kerajaan bagi sesebuah negeri yg tidak beraja di Malaysia Perdana M~ ketua jemaah menteri ketua kabinet 2. sl pegawai tinggi spt penasihat raja dll: maka ialah raja yg mula-mula memperbuat bendahara yg memerintah segala ~ yg di bawah takhta kerajaannya 3.  mantri Id pangkat atau jawatan tertentu ~ cacar tukang cungkil ~ ukur juruukur 4. nama buah catur yg besar nilainya ~ dalam negeri menteri yg mengurus hal-hal dlm negeri ~ luar negeri menteri yg mengurus perhubungan dgn negeri-negeri asing ~ muda timbalan menteri ~ negara Id menteri yg tidak memegang kementerian tetapi diberi tugas yg penting kementerian 1. jabatan kerajaan yg diketuai oleh menteri: K~ Pendidikan 2. bangunan bagi jabatan kerajaan pejabat menteri 3. jawatan menteri.Kamus Dewan Edisi Keempat[menteri]  Definisi :1 ahli pemerintahan yg tertinggi ahli kabinet: ~ Besar ketua kerajaan sesebuah negeri yg beraja di Malaysia Ketua ~ ketua kerajaan sesebuah negeri yg tidak beraja di Malaysia Perdana ~ ketua jemaah menteri ketua kabinet. 2 nama buah catur yg paling berkuasa. kementerian 1 urusan atau jabatan yg dipegang oleh menteri: ~ Kesihatan. 2 pejabat menteri. 3 jawatan menteri.Kamus Pelajar Edisi Kedua,kata nama,High,menteri,kementerian,1
seri,[se.ri]  Definisi :séri  siri.Kamus Dewan Edisi Keempat[se.ri]  Definisi :1. cahaya semarak: nila gunanya utk menghilangkan warna perang pd kain putih dan menambah ~ pd warna biru 2. ke-muliaan keindahan kemegahan: Rafeah itu ~ segala perempuan di situ ~ balai sl balai penghadapan tempat raja dihadapi rakyat ~ gadus sj kuih pipih dan bulat yg diperbuat drpd tepung gandum ~ gunung kelihatan cantik elok bagus ~ kaya sj makanan drpd telur gula santan dan tepung yg biasanya dimakan dgn roti ~ muka a air cahaya muka b  berseri muka kelihatan bercahaya mukanya kerana kegirang-an dll c sj penganan drpd pulut berlapis dgn seri kaya ~ panggung orang bintang bangsa-wan sandiwara dll berseri 1. bercahaya bersemarak 2. kelihatan cantik berupa mulia megah dll: maka negeri Melaka pun tiada ~ lagi 3.  berseri-seri kelihatan bercahaya mukanya dll kerana kegirangan keriangan dll: dgn wajah yg ~-seri dibukalah surat itu dan dibacanya menyerikan menjadikan berseri menyinarkan menyemarakkan majlis dll: majlis itu diserikan dgn pencak silat pohon rendang yg sedang diserikan oleh bunga yg memerah cerah keserian keadaan yg berseri: ~ pakaian baginda terserlah dgn selendang kuning yg dipakainya penyeri seseorang atau sesuatu yg menyeri-kan: anak-anak itulah yg menjadi ~ rumah tangga mereka.Kamus Dewan Edisi Keempat[se.ri]  Definisi :panggilan utk memuliakan raja orang besar dll: S~ Paduka Baginda Yang di-Pertuan Agong S~ Nara Diraja perserian sl orang besar-besar raja dll yg mendapat gelaran penghormatan Seri Seri Maharaja Seri Nara Diraja dll: maka disuruh jemput orang itu jika ~ orang besar-besar menjemput dia.Kamus Dewan Edisi Keempat[se.ri]  Definisi :séri Id pohon bunga ~ sj tumbuhan pokok dan bunga.Kamus Dewan Edisi Keempat[se.ri]  Definisi : menyeri menghisap madu drpd bunga: laksana kumbang ~ bunga kumbang terbang bunga pun layu sari I.Kamus Dewan Edisi Keempat[se.ri]  Definisi :1 sesuatu yg menyebabkan sesuatu yg lain kelihatan bertambah indah atau cantik cahaya semarak: Nila digunakan utk menambah ~ pd kain putih. 2 sesuatu yg dianggap sbg lambang kemegahan atau kemuliaan: Rafeah itu ~ segala perempuan di situ. ~ gadus kuih yg bulat pipih. ~ gunung keadaan sesuatu yg kelihatan cantik dr jauh. ~ muka a. cahaya muka. b. kuih yg dibuat drpd pulut dan diberi berlapis dgn serikaya dsb. ~ pagi nama sj pokok atau bunganya pokoknya menjalar dan bunganya berbentuk spt trompet Ipomoea spp.. ~ panggung pemain sandiwara atau pelakon bangsawan yg terkenal. berseri 1 kelihatan elok atau indah bercahaya bersemarak. 2  berseri-seri kelihatan cemerlang mukanya kerana kegirangan dll. 3 meriah dan ceria bkn majlis persembahan dsb: Jika dia datang majlis itu akan lebih ~. menyerikan 1 menjadikan berseri bkn wajah suasana dsb: Ia ~ lagi suasana di ruang makan itu dgn hiasan yg indah. 2 menjadikan majlis kehidupan dll meriah dan ceria: Ramai artis akan ~ konsert Ambang Merdeka. Ketibaan orang baru akan ~ lagi kehidupan mereka. penyeri orang atau sesuatu yg menyerikan: Anak gadisnya itulah yg menjadi ~ hidupnya.Kamus Pelajar Edisi Kedua[se.ri]  Definisi : menyeri menghisap madu dr bunga-bungaan bkn kumbang dll.Kamus Pelajar Edisi Kedua[se.ri]  Definisi :yg mulia sbg panggilan atau sbg sebutan utk menghormati raja orang-orang besar dll: ~ Paduka Baginda ~ Nara Diraja.Kamus Pelajar Edisi Kedua,kata nama,High,seri,"berseri, menyerikan",2
terkini,[ter.ki.ni]  Definisi :yg paling kini terbaru: penyelidikan yg ~ dlm ilmu bahasa.Kamus Dewan Edisi Keempat,adverba,Low,kini,terkini,1
pengamal,[peng.Öa.mal][pe.nga.mal]  Definisi :orang yg bergiat dlm sesuatu profesion sbg pekerjaan sehari-harinya: ~ perubatan ~ undang-undang.Kamus Dewan Edisi Keempat[peng.Öa.mal][pe.nga.mal]  Definisi :orang yg mengamalkan sesuatu ilmu fahaman dsb orang yg bergiat dlm sesuatu bidang pekerjaan profesion: ~ undang-undang ~ perubatan tradisional.Kamus Pelajar Edisi Kedua,-,-,-,-,0
media,[mé.dia]  Definisi :média alat atau perantara komunikasi perhubungan spt radio televisyen dan akhbar ~ am pelbagai jenis saluran atau perantara komunikasi alat atau saluran komunikasi amnya atau keseluruhannya ~ cetak alat atau saluran komunikasi yg berupa bahan cetakan atau terbitan spt surat khabar majalah dll ~ elektronik alat atau saluran komunikasi yg berupa atau yg menggunakan alat-alat elektron moden spt radio televisyen dll ~ massa pelbagai jenis alat komunikasi spt televisyen radio surat khabar majalah dsb yg dapat menyampaikan maklumat berita dsb kpd orang ramai dgn cepat dlm masa yg singkat sebaran am.Kamus Dewan Edisi Keempat[mé.dia]  Definisi :média alat atau perantara dlm komunikasi atau dlm perhubungan.Kamus Pelajar Edisi Kedua,-,-,-,-,0
tempatan,[tem.pa.tan]  Definisi :yg berkaitan dgn tempat tertentu di tempat itu sendiri: kasut hitam buatan ~ yg dipakainya itu berkilatKamus Dewan Edisi Keempat,-,-,-,-,0
dan,-,-,-,-,-,0
bagi,[ba.gi]  Definisi :apa-apa yg telah ditentukan untuk: Ayah telah memberikan wang kpd saya ~ membeli buku.Kamus Pelajar Edisi Kedua[ba.gi]  Definisi : membagi menyebabkan seseorang menerima sesuatu memberi. membagikan menyerahkan sesuatu kpd memberikan: Siapa yg ~ wang itu kpd kamuKamus Pelajar Edisi Kedua,-,-,-,-,0
menyampaikan,[me.nyam.pai.kan]  Definisi :menyampirkan menyidaikan: empat puluh cindai kara semuanya disampai-kan kpd galahKamus Dewan Edisi Keempat[me.nyam.pai.kan]  Definisi :1. membawa dan menyerah-kan mengirimkan surat khabar dll mem-berikan kpd mengunjukkan kpd: ia datang ~ pesan orang itu isteri Menteri Besar telah ~ hadiah tersebut kpd pemenang 2. mem-beritahukan melaporkan: mereka juga wajib ~ kemusykilan rakyat kpd kerajaan 3. melanjutkan berita ajaran dll memanjangkan kpd umum: orang Arablah yg telah menjadi alat ~ fikiran-fikiran Aristotle kpd orang di Eropah 4. memenuhi permintaan kewajiban niat dll memperkenankan mengabulkan: jikalau patik mati pun apalah boleh buat sebab ~ kehendak tuan patik 5. mencukupkan menjadikan cukupKamus Dewan Edisi Keempat[me.nyam.pai.kan]  Definisi :1 membawa dan menyerahkan apa-apa yg dikirim menghantar: Saya telah ~ surat itu kpd ayah saudaranya. 2 meluluskan apa-apa yg dipinta dll memperkenankan mengabulkan: Moga-moga Allah akan ~ cita-citamu itu. 3 mengunjukkan sesuatu memberikan: Isteri Pegawai Daerah telah ~ hadiah kpd para pemenang.Kamus Pelajar Edisi Kedua,-,-,-,-,0
