words,definition,pos_tag,freq_of_use,kata_dasar,kata_terbitan,num_variations
tuju,[tu.ju]  Definisi :1. arah hala jurusan: ke mana ~nya 2.  tujuan maksud kehendak sasaran setuju 1.  setujuan sama arahnya maksudnya tujuannya dll: dasar perjuangan kita adalah ~ 2.  bersetuju tidak bertentangan pendapat fikiran dll semuafakat sependapat: aku ~ dgn kata-katanya 3.  bersetuju serasi cocok sesuai: jikalau barang suatu perkataan itu dipakai berpatutan dgn tempatnya nescaya sedaplah bunyinya dan ~lah dgn ertinya 4. ark  bersetuju tertarik hati kpd berasa senang akan berkenan: jika tuan ~ ambillah 5.  bersetuju bersetujuan berbetulan dgn bertepatan dgn menyetujui mempersetujui menyatakan bersetuju dgn tidak menentang atau mem-bangkang pendapat dll membenarkan mengiakan: rasa berat hati anakanda hendak ~nya permintaan itu dipersetujuinya menyetujukan mempersetujukan menjadikan setuju mencocokkan mengakurkan menyesuaikan persetujuan 1. pernyataan setuju memperkenankan membenarkan pembenaran pengesahan: pernikahan anaknya tempoh hari tidak mendapat ~nya 2. sesuatu yg telah dipersetujui oleh kedua-dua belah pihak kata sepakat yg dicapai perjanjian: akhirnya mereka mendapat ~ membuka kedai buku dgn modal lima puluh ringgit seorang 3. perihal setuju kecocokan keselarasan kesesuaian menuju 1.  ~ ke  ~ arah ke pergi ke arah ke: maka kedua-dua hulubalang itu berjalanlah ~ gunung itu 2. mengikut arah hala mengabah mengarah menghala: pembuluh ini masuk ~ ke hati 3. membalingkan melontarkan kpd: melempar ~ tampuk 4. menghendaki memaksudkan: engkau yg ditujunya tetapi yg lain yg didapatinya 5. bermaksud utk mencapai bertujuan utk menuntut sesuatu: segala perintah dan hukumnya itu ~ kpd suatu perkara yg besar iaitu kesenangan hati bagi segala rakyatnya juga menujui menuju: tidak lama kemudian sampailah mereka ke negeri yg ditujui menujukan 1. membawa sesuatu arah ke mengarahkan ke mengacukan ke: kapal itu hendak ~ haluannya ke laut 2. mengalamatkan kpd mengarahkan kpd menyampaikan kpd: Radio Malaysia sedang merancang siaran dlm bahasa Perancis yg ditujukan kpd pendengar di Vietnam tertuju 1. kena tuju dituju 2.  ~ kpd diarahkan dialamatkan dimaksudkan dituju-kan kpd: kedua-dua matanya tetap ~ ke muka Muhammad Sani 3. ki tertumpu pd: fikirannya ~ kpd gadis genit itu tujuan 1. arah hala haluan 2. yg dituju maksud matlamat tuntutan: tiap-tiap manusia berusaha utk mencapai ~ ini ~ penderita  pelengkap ~ Id objek dlm ayat penyambut dlm ayat bertujuan 1. mempunyai tujuan ada yg dituju dimaksudkan berhaluan: nampaknya tuan hamba juga ~ hendak ke tempat mereka 2. Id memakai penyambut atau objek ayat dll ketuju ~ di hati a tertarik hati terpikat hati suka b yg disukai yg digemari diketujui ark disukai digemari penuju ~ di hati ketuju di hati.Kamus Dewan Edisi Keempat[tu.ju]  Definisi :jampi mantera dll yg dibaca utk membuat orang jatuh sakit atau mati: ayahanda lepaskanlah ~ ini menuju menggunakan melepaskan tuju pd: ~ orang sampai mati.Kamus Dewan Edisi Keempat[tu.ju]  Definisi :1 arah hala. 2 maksud. menuju 1  ~ ke pergi ke mengarah ke: Kereta itu berjalan dgn lajunya ~ Kuala Lumpur. 3 mengikut arah mengarah menghala. 4 membalingkan atau melemparkan sesuatu ke arah tertentu: Dlm permainan itu bola kecil digunakan utk ~ botol-botol. 5 bermaksud utk: Usaha-usaha itu ~ kpd kemajuan masyarakat Malaysia. menujukan 1 membawa sesuatu ke arah tertentu mengarahkan ke: Ia ~ kapal itu ke Pelabuhan Kelang. 2 mengalamatkan kpd menyampaikan kpd: Bakar ~ surat itu kpd ibunya di kampung. tertuju teracung tertumpu. tujuan 1 arah yg diikut haluan. 2 maksud matlamat: Ia datang ke mari dgn ~ tertentu. bertujuan mempunyai tujuan bermaksud: Kami ~ menjemput saudara pulang ke kampung. setuju 1 serupa maksudnya atau sama arahnya. 2 sesuai cocok: Kain biru itu ~ dgn baju putih ini. bersetuju 1 mempunyai pendapat atau fikiran yg serupa bersependapat: Saya ~ dgn pendapat kakak saya. 2 berasa berkenan atau berasa tertarik kpd: Kalau tuan ~ belilah. menyetujui menyatakan setuju: Ayahnya ~ rancangannya hendak pergi ke luar negara. menyetujukan menjadikan setuju menyesuaikan mencocokkan. persetujuan 1 pernyataan bersetuju pengesahan: Ia sudah mendapat ~ ketuanya utk bercuti panjang. 2 kata sepakat yg telah dicapai antara pihak yg terlibat perjanjian: Kedua-dua belah pihak telah mencapai ~ dlm mesyuarat itu.Kamus Pelajar Edisi Kedua[tu.ju]  Definisi :mantera jampi sihir dll utk membuat orang supaya sakit atau mati: Orang itu mati kerana kena ~. menuju mengenakan atau menggunakan tuju pd.Kamus Pelajar Edisi Kedua,-,-,tuju,"bersetuju, mempersetujui, menyetujukan, mempersetujukan, persetujuan, menuju, menujui, menujukan, tujuan, bertujuan",10
luar,[luar]  Definisi :lwn bahagian dalam: terdengar bunyi ketukan dr ~ kulit ~ orang ~ ~ bandar daerah yg jauh dr bandar kampung desa ~ batas melampaui melebihi batas ~ bicara tidak masuk dlm pembicaraan perbincangan perhitungan ~ dalam a bahagian luar dan bahagian dalam b lahir batin ~ dugaan tidak disangka-sangka ~ janji tidak masuk dlm janji ~ kepala Id dgn ingatan tidak usah ditulis atau melihat tulisan hafaz ~ kira luar bicara ~ negeri  negeri ~ negeri asing ~ nikah perhubungan jenis yg tidak halal orang ~ pagar orang yg tidak kenamengena tidak bersangkut paut ~ pantai luar pesisir ~ pesisir a terletak di laut tidak berapa jauh dr pantai bkn kedudukan sesuatu mis pulau pelantar minyak dll b Eko beroperasi atau berdaftar di luar negara kerana cukainya lebih rendah peraturannya lebih longgar dll bkn bank pelaburan syarikat dll ~ sangkaan tidak disangka-sangka ~ talian Komp sifat peranti sokongan atau sistem yg tidak lagi tersambung atau tidak lagi dikawal terus oleh sistem utama di luar 1. di bahagian luar di sebelah luar: keadaan ~ bertambah sunyi dan gelap 2. tidak masuk perkara perhitungan tanggungan dll kecuali tidak diliputi terliput oleh lain drpd: budak-budak nakal itu melepaskan kata-kata yg ~ pengalaman mereka kejadian itu ~ pengetahuannya ~ dugaan tidak terduga sama sekali tidak tersangka-sangka ~ kepala Id luar kepala ~ pembicaraan tidak masuk dlm pembicaraan ke luar ke sebelah luar meluar menyembul keluar menonjol keluar meluarkan 1. tidak memasukkan ke dlm golongan perhitungan dll mengasingkan mengecualikan menyingkirkan 2. menyuruh keluar luaran 1.  orang ~ orang asing orang lain 2. sl orang yg tidak masuk dlm golongan istana orang keluaran 3.  negeri ~ negeri asing 4. yg tampak sahaja lahiriah: pd ~nya sahaja kita dipaparkan dgn kenakalan Umar Umaiyah peluaran dunia ~ dunia luar keluar.Kamus Dewan Edisi Keempat[luar]  Definisi :bahagian ruang tempat dll yg bukan di dalam: kulit ~ orang ~. ~ bandar daerah yg jauh dr bandar. ~ biasa tidak spt yg biasa ganjil. ~ dugaan tidak disangka-sangka. ~ negeri  negeri ~ negeri asing. ~ nikah tidak dlm ikatan suami isteri yg sah ttg perhubungan antara lelaki dgn perempuan. ~ talian ist keadaan kelengkapan atau peranti komputer di luar kawalan sistem utama komputer. luaran sesuatu yg di luar: masalah ~. di luar 1 di sebelah bahagian luar: Sementara ia memasak di dapur anaknya bermain-main ~. 2 tidak termasuk dlm sesuatu perhitungan dll kecuali: Penipuan itu berlaku ~ pengetahuan saya. ke luar pergi ke bahagian luar ke sebelah luar.Kamus Pelajar Edisi Kedua,kata nama,High,luar,"di luar, ke luar, luaran",3
negara,[ne.ga.ra]  Definisi :1 kumpulan masyarakat yg mendiami sesuatu kawasan mempunyai kedaulatan politik dan juga jentera pemerintahan: Kepentingan ~ lebih diutamakan drpd kepentingan perseorangan. 2 sesuatu kawasan yg didiami oleh masyarakat tsb: ~ Malaysia. ~ dunia ketiga negara-negara di Afrika Asia dan Amerika Latin secara berkumpulan yg dianggap masih mundur atau sedang membangun. ~ jiran  ~ tetangga negara yg berdekatan. ~ maju negara kaya yg sebahagian besar ekonominya bergantung pd industri dan penduduknya menikmati taraf hidup yg tinggi. ~ matahari terbit negara Jepun. ~ membangun negara yg sedang giat berusaha meningkatkan taraf hidup ekonomi dsb spt Malaysia. ~ perindustrian negara yg kekuatan dan kemajuan ekonominya berteraskan pelbagai industri. kenegaraan segala yg berkaitan dgn negara. negarawan orang yg mahir benar dgn cara-cara pemerintahan negara orang yg memegang tampuk pemerintahan sesebuah negara ahli negara.Kamus Pelajar Edisi Kedua,kata nama,High,negara,-,0
hala,[ha.la]  Definisi :arah tuju: sungainya kecil mengalir ~ ke pantai mereka mempunyai ~ perjalanan yg berlainan tidak tentu ~ tidak berketentuan tidak tentu arah haru-biru berhala berarah menghala menuju mengarah: terbang ~ ke utara menghalakan mengarahkan menujukan: pendekatan ini ~ perhatian pengkaji kpd usaha mencari maklumat tertentu maka dihalakannya panahnya itu ke benua Siam.Kamus Dewan Edisi Keempat[ha.la]  Definisi : ~-kebala Kl bp biarkanlah lupakan lah maafkanlah: ~lah jangan diingat-ingatkan lagi perkara itu.Kamus Dewan Edisi Keempat[ha.la]  Definisi :arah yg dituju aliran sungai tiupan angin dll: Angin bertiup ~nya ke pantai. menghala mengikut hala mengarah menuju: Kapal itu berlayar ~ ke utara. menghalakan menetapkan hala menujukan mengarahkan: Dia ~ tembakan itu kpd musuh.Kamus Pelajar Edisi Kedua,kata nama,High,hala,"berhala, menghala, menghalakan",3
negara,[ne.ga.ra]  Definisi :1 kumpulan masyarakat yg mendiami sesuatu kawasan mempunyai kedaulatan politik dan juga jentera pemerintahan: Kepentingan ~ lebih diutamakan drpd kepentingan perseorangan. 2 sesuatu kawasan yg didiami oleh masyarakat tsb: ~ Malaysia. ~ dunia ketiga negara-negara di Afrika Asia dan Amerika Latin secara berkumpulan yg dianggap masih mundur atau sedang membangun. ~ jiran  ~ tetangga negara yg berdekatan. ~ maju negara kaya yg sebahagian besar ekonominya bergantung pd industri dan penduduknya menikmati taraf hidup yg tinggi. ~ matahari terbit negara Jepun. ~ membangun negara yg sedang giat berusaha meningkatkan taraf hidup ekonomi dsb spt Malaysia. ~ perindustrian negara yg kekuatan dan kemajuan ekonominya berteraskan pelbagai industri. kenegaraan segala yg berkaitan dgn negara. negarawan orang yg mahir benar dgn cara-cara pemerintahan negara orang yg memegang tampuk pemerintahan sesebuah negara ahli negara.Kamus Pelajar Edisi Kedua,kata nama,High,negara,-,0
perkembangan,[per.kem.ba.ngan]  Definisi :perihal proses dsb berkembang menjadi maju atau tersebar membiak meluas dsb pertumbuhan kemajuan: ~ bahasa dan kesusasteraan Melayu dgn ~ perindustrian banyaklah lagi hasil perusahaan yg dapat dikeluarkan ~ politik ~ ilmu pengetahuanKamus Dewan Edisi Keempat[per.kem.ba.ngan]  Definisi :keadaan atau hal berkembang: ~ bahasa Melayu ~ agama Islam.Kamus Pelajar Edisi Kedua,kata kerja,Moderate,kembang,"berkembang, mengembangkan, memperkembangkan, perkembangan, pengembangan",5
menerusi,[me.ne.ru.si]  Definisi :1. masuk sampai ke melantas pd menembus pd: jahitan yg awal dan yg akhir sahaja yg ~ kain yg lain itu lalu di bawah urat benang sahaja 2. dgn perantaraan melalui: masukkan sehelai benang halus ~ lubang-lubang pd kertas tebal itu dia mengirim buku-buku itu ~ sayaKamus Dewan Edisi Keempat[me.ne.ru.si]  Definisi :dgn perantaraan melalui: Pencuri masuk ke dlm rumah itu ~ tingkap. Dia mengirim wang itu ~ kawannya.Kamus Pelajar Edisi Kedua,adjektif,Moderate,terus,"seterusnya, berterus terang, berterusan, terus-menerus, menerusi, meneruskan, terusan, penerusan",8
yang,[yang]  Definisi :1. Lin kata penghubung utk menyatakan bahawa kata keterangan berikutnya dipentingkan atau menunjukkan kelainan: rumah ~ besar itu orang ~ sakit itu 2. Lin kata penghubung utk menyatakan bahawa katakata ayat berikutnya ialah penjelasan utk kata-kata sebelumnya: banyak orang ~ ingin bersalam dengannya 3. kata yg digunakan sbg kata penyerta kata yg menentukan kata benda kata sandang: ~ penting bagi kita ialah mengenai dasar ~ kaya sama kaya 4. sl adapun akan: ~ hutang tuan hamba sekati emas itu halallah dunia akhirat 5. bp kata peng-hubung utk menyatakan isi atau huraiankata ayat sebelumnya bahawa: mengertilah cikgu itu ~ pandangan itu bermaksud meminta nasihat Y~ Amat Arif rujukan kehormat utk Ketua Hakim Negara dlm situasi formal spt di mahkamah dsb Y~ Amat Berbahagia rujukan kehormat yg digunakan utk mereka yg bergelar Tun dan Toh Puan Y~ Amat Berhormat rujukan kehormat yg digunakan utk Perdana Menteri Timbalan Perdana Menteri dan Menteri Besar Y~ Amat Mulia rujukan kehormat yg digunakan utk Undang luak di Negeri Sembilan Y~ Arif rujukan kehormat yg digunakan utk Hakim pd situasi yg formal spt di mahkamah dsb Y~ Berbahagia rujukan kehormat yg digunakan utk mereka yg bergelar Tan Sri Puan Sri Datuk Seri Datin Seri Datuk Paduka Datin Paduka Dato Datuk dan Datin yg bukan wakil rakyat Y~ Berhormat rujukan kehormat yg digunakan utk Menteri Timbalan Menteri Yang Dipertua Dewan Negara Yang Dipertua Dewan Rakyat Yang Dipertua Dewan Negeri Ahli Dewan Rakyat Ahli Dewan Negara dan Ahli Dewan Undangan Negeri Y~ Berhormat Mulia rujukan kehormat yg digunakan utk Menteri Timbalan Menteri Yang Dipertua Dewan Negara Yang Dipertua Dewan Rakyat Yang Dipertua Dewan Negeri Ahli Dewan Rakyat Ahli Dewan Negara dan Ahli Dewan Undangan Negeri yg berketurunan raja Y~ Dipertua orang yg dilantik menjadi ketua sesuatu persatuan perkumpulan dll Y~ Dipertua Negeri gelaran utk ketua negeri bagi Melaka Pulau Pinang Sabah dan Sarawak Y~ Dipertuan gelaran utk raja yg memerintah sultan tuanku Y~ di-Pertuan Agong gelaran utk Ketua Negara Malaysia Y~ Maha Kuasa Tuhan Allah Y~ Maha Mulia rujukan kehormat utk sultan atau raja yg memerintah Y~ Mulia rujukan kehormat utk mereka yg bergelar Tengku Raja Syed Engku Ungku dan Datu Y~ Teramat Mulia rujukan kehormat utk keluarga diraja yg terdekat.Kamus Dewan Edisi Keempat[yang]  Definisi : yang-yang dewa beryang-yang membaca mantera memanggil dewa-dewa memuja dewa-dewa: maka tuan puteri pun mengambil gaharu cendana janggi dibakarnya sambil ~ Tuanku Malim Deman pun berangkatlah bersiram di dlm taman itu ~ mengamalkan sekalian ilmu hikmat kayangan tempat kediaman segala dewa keinderaan.Kamus Dewan Edisi Keempat[yang]  Definisi :1 kata utk mengasingkan sesuatu supaya jelas kelainannya: Telur ~ kecil di atas meja itu telur burung. 2 kata utk menentukan sesuatu sbg benda: ~ tinggi itu bangunan Parlimen. 3 kata yg menghubungkan benda dgn penerangnya: Rumah ~ baru dibelinya itu rumah batu. ~ Dipertua orang yg dilantik menjadi ketua sesuatu perkumpulan persatuan dll. ~ Dipertuan gelaran utk raja yg memerintah. ~ Maha Kuasa Tuhan Allah.Kamus Pelajar Edisi Kedua[yang]  Definisi :  yang-yang dewa. beryang-yang memuja dewa-dewa.Kamus Pelajar Edisi Kedua,-,-,-,-,0
dasar,[da.sar]  Definisi :1. bahagian yg di bawah sekali laut sungai tasik dsb: mutiara didapati di ~ laut 2. bahagian yg di bawah sekali sama ada di sebelah dalam atau di sebelah luar sesuatu bekas spt kuali botol dll: serbuk kopi itu mendap ke ~ gelas ~ kuali yg hitam spt arang 3. lantai: rumah itu atapnya zink dindingnya papan dan ~nya simen 4. lapisan yg di bawah sekali pd gambar kain dll latar: ~ kain batik pd umumnya berwarna perang corak yg terdiri drpd kuntum-kuntum bunga pd ~ yg berwarna gelap 5. sifat perangai yg sudah sebati dgn seseorang: dia pantang ditegur memang begitu ~nya 6. pertimbangan cara sistem dll yg pokok bkn sesuatu asas prinsip teras: Vietnam Selatan mengirim beberapa orang pegawai tentera ke Malaysia utk mempelajari ~-~ perang gerila apakah ~nya pendapat tuan itu 7. pendirian yg menjadi asas segala tindakan sikap keputusan dll polisi: ~ kerajaan ~ sesebuah parti politik ~ ekonomi negara 8. yg menjadi bahagian faktor terpenting asas pokok: setelah dicapai persetujuan tentang soal-soal ~ baru dibincangkan butir-butirnya 9. Id memang sebenarnya: sudah ~ pencuri 10. kertas dsb yg dipotong mengikut bentuk baju dan dijadikan asas utk menggunting pakaianberdasar 1. ada memakai mempunyai dasar: kain songket itu ~ biru 2. berasas bersandar: ~ keterangan-keterangan yg diterima memang orang itu bersalah 3. ark  berdasarkan berdasarkan berasaskan bersandarkan berlandaskan: tulisan saya itu ~ berita yg tersiar di sebuah akhbar tuduhan yg ~ bukti-bukti yg nyatamendasar bersifat dasar atau asas: keperluan-keperluan yg paling ~ bagi zamannya mendasari menjadi dasar atau asas kpd: konflik antara Hang Tuah dgn Hang Jebat yg ~ drama ini adalah cukup dramatik kita akan dapat melihat ideologi yg ~ penulisannya mendasarkan menggunakan memakai sbg dasar: perkahwinan harus didasarkan pd cinta dan kasih sayangpendasaran proses menjadikan sesuatu dasar: situasi masyarakat yg saintifik dibantu oleh ~ sifat-sifat sandiwara.Kamus Dewan Edisi Keempat[da.sar]  Definisi :1 bahagian yg di bawah sekali bkn laut sungai botol kuali dll: Air sungai itu sangat jernih hingga nampak ~nya. 2 asas panduan pendapat falsafah aturan dll: ~ kerajaan ialah meninggikan taraf ekonomi rakyat Malaysia. ~ Ekonomi Baru dasar yg membuka jalan ke arah penyelesaian masalah ekonomi yg tidak seimbang. 3 lantai: ~ rumah itu dibuat drpd simen. 4 lapisan yg di bawah sekali pd gambar dll: latar: ~ gambar itu berwarna biru muda. 5 bp memang begitu perangainya sifatnya dsb: ~ hidung belang di mana pun dia suka mengganggu perempuan. berdasar 1 mempunyai dasar: Selendang itu ~ warna merah jambu. 2 bersandar berasas: Aduan-aduan itu ~ pd bukti yg nyata. berdasarkan berdasar pd berasaskan: Laporan itu ~ kejadian-kejadian yg betul-betul berlaku. mendasarkan memakai sbg dasar: Kekuatan sesebuah negeri itu biasanya didasarkan pd kekuatan tenteranya.Kamus Pelajar Edisi Kedua,-,-,-,-,0
pelbagai,[pel.ba.gai]  Definisi :bagai.Kamus Dewan Edisi Keempat[pel.ba.gai]  Definisi :berbagai-bagai beberapa jenis: tarian Timur lebih ditekankan kpd perasaan sedangkan tarian Barat berpusat pd mutu dinamik ~ tarian ituKamus Dewan Edisi Keempat[pel.ba.gai]  Definisi :berbagai-bagai.Kamus Pelajar Edisi Kedua[pel.ba.gai]  Definisi :banyak jenisnya atau banyak macamnya berbagai-bagai berjenis-jenis bermacam-macam: Taman itu penuh dgn ~ jenis bunga. mempelbagaikan menjadikan banyak jenisnya atau macamnya menjadikan berbagai-bagai. kepelbagaian perihal keadaan pelbagai atau berbagai-bagai.Kamus Pelajar Edisi Kedua,-,-,-,-,0
dan,-,-,-,-,-,0
depan,[de.pan]  Definisi :hadapan muka: dr rumah ketua kampung ternampak api pelita minyak tanah di ruang ~ minggu bulan dll ~ minggu bulan dll yg akan datang di depan di hadapan di muka: ~ markas besar itu terletak sebuah jip yg sudah tua ke depan 1. ke hadapan ke muka mara 2. selanjutnya seterusnya hingga pd terkedepan berada jauh di depan atau di hadapan dlm proses kemajuan dsb sudah maju: utk diterima umum seseorang itu tidak harus terkebelakang atau ~ drpd tamadun yg sedang didudukinya seseorang mesti belajar banyak teknik pengadilan termasuk kecekapan mata drpd pengadil-pengadil yg ~ depan-depan secara berhadapan langsung secara bertentang mata bersemuka: kalau tidak boleh bercakap secara ~ dgn pasangan telefonlah sahaja kalau ingin menegurnya tegurlah ~ secara baik berdepan bertemu bersua muka berhadapan: perasaanku senang sekali apabila ~ dgn anak-anak itu berdepan-depan berhadap-hadapan bersemuka mendepan menghadap menghala mengarah ke: ibunya tidak berbaju hanya berkemban gantung sahaja dan separuh dadanya terbuka ~ angin mendepani 1. berada di depan sesuatu: tinggallah Masniah keseorangan yg sedang ~ Mat Deli dgn degup jantungnya yg kencang 2. berusaha tidak mahu ketinggalan mendahului: Adi dirasakan begitu besar ~nya dlm setiap bidang mengedepankan mengutarakan mengemukakan: ~ permohonan kpd pihak yg berkenaan terdepan yg di depan sekali: askar-askar kita yg di medan perang ~ semuanya berjaga-jaga.Kamus Dewan Edisi Keempat[de.pan]  Definisi :hadapan muka: Selepas makan mereka berbual-bual di ruang ~. minggu bulan tahun ~ minggu bulan tahun yg akan datang. berdepan 1 bertemu muka bersua: Dia berasa takut apabila ~ dgn gurunya. 2 ki berlawan beradu bertarung: Ada perajurit Majapahit yg ingin ~ dgn pahlawan Melaka. berdepan-depan berhadap-hadapan bersemuka. mendepan menghadap menghala ke sesuatu arah: Dia ~ saya apabila dia menceritakan hal itu. mendepani berhadapan dgn: ~ masalah. terdepan di depan sekali: Askar-askar dlm barisan yg ~ selalu kena tembak. di depan di hadapan di muka: Dia berdiri ~ pintu melihat suaminya pergi. ke depan ke hadapan maju mara: Dia ~ menemui lawannya. mengedepankan 1 meletakkan menempatkan di hadapan: Dia ~ kerusi itu. 2 mengemukakan mengutamakan: Mereka ~ cadangan-cadangan yg baik itu.Kamus Pelajar Edisi Kedua,-,-,-,-,0
malaysia,Definisi :negara yg terletak di Asia Tenggara yg ibu negaranya Kuala Lumpur bahasa rasmi dan bahasa kebangsaannya bahasa Melayu dan agama rasminya agama Islam memalaysiakan menyesuaikan atau menjadikan sesuatu supaya bercirikan Malaysia: pakaian tradisi Cina yg telah dimalaysiakan bersesuaian dgn suasana tempatan kemalaysiaan berhubung dgn atau bersifat Malaysia sbg sebuah negara seluruhnya: banyak ciri dan cita-citanya lebih melambangkan ciri dan cita-cita ~ pemalaysiaan perbuatan proses menjadikan sesuatu bercirikan Malaysia: penyusunan semula masyarakat adalah satu proses ~ semua sektor kehidupan rakyat Malaysia.Kamus Dewan Edisi Keempat,-,-,-,-,0
berkaitan,[ber.kai.tan]  Definisi :bersangkutan berhubungan berkenaan: hal-hal yg ~ dgn kewangan perkara-perkara yg ~ dgn pelajaranKamus Dewan Edisi Keempat[ber.kai.tan]  Definisi :ada sangkut pautnya berhubungan bersangkutan: Dr buku ini kita dpt mempelajari perkara-perkara yg ~ dgn sejarah negeri kita sendiri.Kamus Pelajar Edisi Kedua,kata nama,High,kait,berkaitan,1
kerajaan,[ke.ra.ja.an]  Definisi :1. negeri atau negara yg dikepalai oleh raja: ~ Malaysia ~ Arab Saudi 2. pemerintahan negara: ~ Indonesia berparlimen 3. martabat kedudukan raja: setelah nenda hilang ayahanda Badanul menggantikan nenda di atas ~ 4. tanda-tanda alat kebesaran raja: pakaian ~ payung ~ takhta ~ 5. sifat sbg raja: jika tiada diketahuinya tujuh perkara tiada layak ia naik raja dan tiada sempurna ~nya 6. sl naik takhta menjadi raja: jika ia ~ tiada akan sempurna negeri iniKamus Dewan Edisi Keempat[ke.ra.ja.an]  Definisi :1 negeri atau negara yg mempunyai raja sbg kepala pemerintahannya: ~ Arab Saudi. 2 pemerintahan atau pemerintah sesebuah negara: ~ Thailand. 3 naik takhta menjadi raja: Jika ia ~ tiada akan sempurna negeri ini. ~ campuran pemerintahan yg anggota kabinetnya terdiri drpd berbagai-bagai parti bukan drpd satu parti politik. ~ pusat pemerintahan yg bersifat kebangsaan iaitu seluruhnya bukan kerajaan negeri atau bahagian. ~ tempatan 1 pemerintahan pentadbiran di peringkat daerah spt pekan bandar. 2 sistem kerajaan yg meletakkan pentadbiran hal ehwal kerajaan pd pihak berkuasa setempat mis majlis perbandaran dan majlis daerah.Kamus Pelajar Edisi Kedua,kata nama,High,raja,"meraja, merajai, merajakan, kerajaan, berkerajaan",5
isu,[i.su]  Definisi :perkara pokok persoalan: krisis Timur Tengah merupakan ~ penting yg dibincangkan dlm persidangan itu.Kamus Dewan Edisi Keempat[i.su]  Definisi :perkara pokok persoalan.Kamus Pelajar Edisi Kedua,kata nama,High,isu,-,0
semasa,[se.ma.sa]  Definisi :1. sama masa dgn pd ketika yg sama: beliau juga hidup hampir ~ dgn sejarah yg ditulisnya 2. sewaktu pd ketika: ~ Datuk Ujang bergerak ke muka pintu ia keluar perlahan-lahan 3. dr masa zaman yg diperkatakan dr masa yg sama: hal-hal yg menarik perhatian ~Kamus Dewan Edisi Keempat[se.ma.sa]  Definisi :1 pd ketika pd waktu: Dia datang tadi ~ saya tidak ada di rumah. 2 sedang berlaku atau bkn masa kini sekarang: hal ehwal ~.Kamus Pelajar Edisi Kedua,kata nama,High,masa,semasa,1
masa,[ma.sa]  Definisi :1. waktu ketika: ~ dan tempat per-undangan itu harus dipersetujui bersama oleh kedua-dua pihak bila-bila ~ 2. jangka waktu yg agak lama ketika sesuatu kejadian dll yg penting berlaku zaman ~ Jepun zaman pendudukan Jepun 3. jangka waktu yg tertentu ada permulaan serta batasnya ~ capaian Komp masa yg diperlukan utk mendapatkan data yg diproses ~ kerja waktu yg ditentukan utk sesuatu pekerjaan separuh ~ pertama kedua waktu permainan bola sepak dll dr permulaan hingga pertengahan dr pertengahan hingga akhir ~ depan hadapan datang zaman yg akan datang ~ karbon zaman lapisan karbon terbentuk dlm tanah ~ kecil ketika masih kecil zaman masih budak-budak ~ kering musim kering ~ lampau waktu yg telah lalu lepas ~ lapang lega waktu senggang ~ peralihan masa berlaku perubahan atau pergantian drpd suatu keadaan kpd keadaan lain ~ Permian Geo zaman selepas zaman karbon ~ rehat waktu utk berehat dr se~ ke se~ dr satu waktu ke waktu lain semasa 1. sama masa dgn pd ketika yg sama: beliau juga hidup hampir ~ dgn sejarah yg ditulisnya 2. sewaktu pd ketika: ~ Datuk Ujang bergerak ke muka pintu ia keluar perlahan-lahan 3. dr masa zaman yg diperkatakan dr masa yg sama: hal-hal yg menarik perhatian ~ semasa-masa sewaktu-waktu pemasaan perihal atau proses menentukan mengatur atau mengawal masa bagi sesuatu operasi dsb: ~ yg tidak betul juga boleh me-nyebabkan salah satu kebuk pembakaran dimasuki pelincir pemasa alat utk mengatur dan mengawal masa operasi sesuatu mesin peranti dsb.Kamus Dewan Edisi Keempat[ma.sa]  Definisi : masakan mana boleh tidak akanlah tidak mungkin: kalau tidak ~ sampai bertahun-tahun ia dapat melakukan per-dagangan gelap kalau cendawan sudi tum-buh ~ bumi tidak terima ~ bodoh a tidak mempedulikan apa-apa bterserah bersikap ~ bodoh tidak mempedulikan atau mengendahkan hal orang lain dll.Kamus Dewan Edisi Keempat[ma.sa]  Definisi :1 hari atau bahagian hari yg tidak ditentukan bila boleh jadi telah lalu sekarang ataupun akan datang ketika waktu: ~ dan tempat mesyuarat itu diadakan tidak disebut. 2 jangka waktu tertentu yg ada awal dan ada akhirnya: ~ kerja ~ sekolah. 3 waktu yg agak lama tempohnya dan ada sesuatu peristiwa penting berlaku zaman: Pd ~ Jepun dahulu saya masih kecil. ~ capaian ist masa yg diperlukan utk mendapatkan data yg diproses. ~ nyata a. masa sebenar berlakunya sesuatu perkara atau peristiwa. b. bkn sistem pemprosesan komputer dlm talian yg menerima dan memproses data secepat mungkin utk menghasilkan aktiviti atau proses berterusan. ~ rosak ist selang atau tempoh masa apabila sesuatu peranti tidak dpt beroperasi disebabkan berlaku kerosakan pd peranti tsb. pemasa alat utk mengukur dan mengawal masa operasi atau masa berjalannya sesuatu mesin peralatan dsb. semasa 1 pd ketika pd waktu: Dia datang tadi ~ saya tidak ada di rumah. 2 sedang berlaku atau bkn masa kini sekarang: hal ehwal ~.Kamus Pelajar Edisi Kedua[ma.sa]  Definisi : masakan mana boleh tidak mungkin mustahil: Dia orang bijak ~ dia tidak mengerti.Kamus Pelajar Edisi Kedua,kata nama,High,masa,semasa,1
